name,type,cell_id,google_id,status,search,source,geometry,neighborhood,x,y,id
Bethlehem Baptist Church,Places of Worship,Cell 58,NA,new,NA,humancoding_fall,"c(-71.0821717, 42.2842889)",Dorchester,-71.0821717,42.2842889,141
Bethlehem Baptist Church,Places of Worship,Cell 59,ChIJLcYJZ_F744kRt5tYKm5KGGo,checked,place of worship,google_api,"c(-71.080047, 42.286025)",Dorchester,-71.080047,42.286025,142
Bethlehem Healing Temple,Places of Worship,Cell 86,ChIJq7FvDs9744kRS4AKJnN0deM,checked,place of worship,google_api,"c(-71.081863, 42.310289)",Dorchester,-71.081863,42.310289,143
Bethlehemsisterhood Church,Places of Worship,Cell 96,ChIJOzsVy9R744kR61NWz1pDFtg,checked,place of worship,google_api,"c(-71.094122, 42.318667)",Roxbury,-71.094122,42.318667,144
Betty Powers Library Computer Center,Community Spaces,Cell 106,ChIJu8Kb2Y9544kRKwvQl_NHpBk,checked,library,google_api,"c(-71.109617, 42.333693)",Mission Hill,-71.109617,42.333693,145
Beulah Pilgrim Holiness Church,Places of Worship,Cell 86,ChIJY7eEsc9744kR4lVYeMlvZDM,checked,place of worship,google_api,"c(-71.083448, 42.311096)",Roxbury,-71.083448,42.311096,146
"Beulah Pilgrim Holiness Church
",Places of Worship,Cell 86,NA,new,NA,humancoding_fall,"c(-71.0830459, 42.3092985)",Roxbury,-71.0830459,42.3092985,147
"Bible Baptist Church
",Places of Worship,Cell 87,NA,new,NA,humancoding_fall,"c(-71.0622304, 42.3073663)",Dorchester,-71.0622304,42.3073663,148
Biddy Hair Salon,Social Businesses,Cell 195,NA,new,NA,humancoding_fall,"c(-71.0390257, 42.3765186)",East Boston,-71.0390257,42.3765186,149
Big Kid Playgroung,Parks,Cell 160,NA,new,NA,humancoding_fall,"c(-71.0869147, 42.3526159)",Back Bay,-71.0869147,42.3526159,150
Bill Russell Statue on City Hall Plaza,Community Spaces,Cell 174,ChIJ5woE06Nx44kRtU0vYTST45g,checked,city hall,google_api,"c(-71.057848, 42.359742)",Downtown,-71.057848,42.359742,151
Billings Field,Parks,Cell 31,ChIJMQltKiV_44kRsbGl5xTCEvw,checked,park,google_api,"c(-71.156897, 42.28028)",West Roxbury,-71.156897,42.28028,152
Binford Street Park,Parks,Cell 163,NA,new,NA,humancoding_fall,"c(-71.0532671, 42.3476869)",South Boston Waterfront,-71.0532671,42.3476869,153
Bishop F.J.Wilson Hall,Places of Worship,Cell 26,NA,new,NA,humancoding_fall,"c(-71.1117848, 42.2678371)",Hyde Park,-71.1117848,42.2678371,155
Black Community Info Center Inc,Community Spaces,Cell 85,ChIJG8cP2c1744kRaWG71pcYKNY,checked,community center,google_api,"c(-71.083464, 42.314102)",Roxbury,-71.083464,42.314102,156
Blackbird Doughnuts Brighton,Social Businesses,Cell 139,NA,new,NA,humancoding_fall,"c(-71.1377184, 42.3591712)",Brighton,-71.1377184,42.3591712,157
Blackstone Community Center,Community Spaces,Cell 125,ChIJ_bGAUWt644kR2j_5HYlWXOM,checked,community center,google_api,"c(-71.0732768, 42.3403912)",South End,-71.0732768,42.3403912,158
Blackstone Square,Parks,Cell 125,ChIJHz89HS1744kRNAD6Dk-A_Qo,checked,square,google_api,"c(-71.073551, 42.339648)",South End,-71.073551,42.339648,159
Blue Bottle Coffee,Social Businesses,Cell 144,NA,new,NA,humancoding_fall,"c(-71.0811812, 42.3466572)",Back Bay,-71.0811812,42.3466572,160
Blue Hill Church of Christ,Places of Worship,Cell 36,ChIJb_mSLgN844kR8LnMitC7R5I,checked,place of worship,google_api,"c(-71.09398, 42.273054)",Mattapan,-71.09398,42.273054,162
Blue Hill Missionary Baptist,Places of Worship,Cell 47,NA,new,NA,humancoding_fall,"c(-71.0920483, 42.2812772)",Mattapan,-71.0920483,42.2812772,163
Boba Me,Social Businesses,Cell 107,NA,"new, visited",NA,humancoding_fall,"c(-71.099746, 42.3323856)",Mission Hill,-71.099746,42.3323856,170
Bonita Beauty Salon,Social Businesses,Cell 25,NA,new,NA,humancoding_fall,"c(-71.1213812, 42.2696189)",Hyde Park,-71.1213812,42.2696189,171
Bonita's Beauty Salon,Social Businesses,Cell 45,NA,new,NA,humancoding_fall,"c(-71.1187468, 42.2800168)",Roslindale,-71.1187468,42.2800168,172
Bonito Sqaure,Parks,Cell 225,NA,new,NA,humancoding_fall,"c(-70.9990697, 42.3895915)",East Boston,-70.9990697,42.3895915,173
Boston Architectural College Library,Community Spaces,Cell 143,ChIJudGWCJx744kRUCxcnvFG4Jw,checked,library,google_api,"c(-71.085757, 42.348445)",Back Bay,-71.085757,42.348445,174
Boston Archives Division,Community Spaces,Cell 2,ChIJo8Hb1Ud-44kRrffWutQHfE0,checked,city hall,google_api,"c(-71.132903, 42.233899)",Hyde Park,-71.132903,42.233899,175
Boston Athenaeum,Community Spaces,Cell 174,ChIJO_EfVJtw44kRyUaGBYXShhU,checked,library,google_api,"c(-71.0621323, 42.358028)",Downtown,-71.0621323,42.358028,176
Boston Baking Inc,Social Businesses,Cell 2,NA,new,NA,humancoding_fall,"c(-71.1394801, 42.2340419)",Hyde Park,-71.1394801,42.2340419,177
Boston Barber Co. Beacon Hill,Social Businesses,Cell 174,NA,new,NA,humancoding_fall,"c(-71.06279, 42.3588072)",Downtown,-71.06279,42.3588072,178
Boston Book Company,Social Businesses,Cell 74,ChIJ_6-uhW5544kRAIMqmdKrB2E,checked,bookstore,google_api,"c(-71.114556, 42.311504)",Jamaica Plain,-71.114556,42.311504,179
Boston Bowl,Social Businesses,Cell 80,NA,new,NA,humancoding_fall,"c(-71.0461566, 42.2941827)",Dorchester,-71.0461566,42.2941827,181
Boston Center-Youth & Families,Community Spaces,Cell 107,ChIJQYEkbIh544kRZYmY4Joaxxk,"checked, visited",community center,google_api,"c(-71.098243, 42.33223)",Mission Hill,-71.098243,42.33223,182
Boston Chinatown Neighborhood Center,Community Spaces,Cell 162,NA,new,NA,humancoding_fall,"c(-71.064801, 42.347974)",Chinatown,-71.064801,42.347974,183
Boston Chinese Evangelical Church,Places of Worship,Cell 145,ChIJY1vgvnB644kRLR5A2dMy9mA,checked,place of worship,google_api,"c(-71.065702, 42.346209)",South End,-71.065702,42.346209,184
Boston City Blessing Church,Places of Worship,Cell 139,ChIJcw_s2s9544kRGdcdvegCEY0,checked,place of worship,google_api,"c(-71.135084, 42.35542)",Allston,-71.135084,42.35542,187
Boston City Hall,Community Spaces,Cell 174,ChIJLw8wo4Vw44kRWkWR0c03LH4,checked,city hall,google_api,"c(-71.057993, 42.360406)",Downtown,-71.057993,42.360406,188
Boston College Neighborhood Center,Community Spaces,Cell 120,ChIJPT6nD0h444kRHgDyAOJSlK0,checked,community center,google_api,"c(-71.160333, 42.348743)",Brighton,-71.160333,42.348743,189
Boston College Theology and Ministry Library,Community Spaces,Cell 104,ChIJR4pjQkN444kRDyb67_L6ka8,checked,library,google_api,"c(-71.163697, 42.342884)",Brighton,-71.163697,42.342884,190
Boston Common,Parks,Cell 162,ChIJKyNuvJ1w44kRBE-pe_yDhj8,checked,park,google_api,"c(-71.065726, 42.35509)",Beacon Hill,-71.065726,42.35509,191
Boston Common Baseball Field,Parks,Cell 161,NA,new,NA,humancoding_fall,"c(-71.0670617, 42.3538907)",Beacon Hill,-71.0670617,42.3538907,192
Boston Common Tennis Court,Parks,Cell 162,NA,new,NA,humancoding_fall,"c(-71.0661247, 42.3538004)",Beacon Hill,-71.0661247,42.3538004,193
Boston Environment Department,Community Spaces,Cell 174,ChIJUXu3voVw44kRKjcy1AvcQXE,checked,city hall,google_api,"c(-71.05793, 42.360275)",Downtown,-71.05793,42.360275,194
Boston Faith Justice,Places of Worship,Cell 139,NA,new,NA,humancoding_fall,"c(-71.1401624, 42.352962)",Allston,-71.1401624,42.352962,195
