name,type,cell_id,google_id,status,search,source,x,y,id
Winthrop Playground,Parks,Cell 97,ChIJB97yWwB744kRL3RA9ejL8j8,checked,park,googlapi,-71.07597,42.317451,1304
Worchester Street Community Garden,Parks,Cell 125,NA,new,NA,humancoding_fall,-71.0795921,42.3406124,1305
Word of Life Tabernacle,Places of Worship,Cell 95,ChIJs2ZWVX5544kR4h7Rqm7ROCY,checked,place of worship,googlapi,-71.100278,42.319071,1306
Wormwood Park,Parks,Cell 163,ChIJ3coGI35644kRv9JWb6j2fmA,checked,park,googlapi,-71.05038,42.347601,1307
Yawkey Konbit Kreyol Center | Dorchester,Community Spaces,Cell 86,ChIJURt2T8Z744kR_ssH1tyUdTg,checked,community center,googlapi,-71.077116,42.306389,1308
Yi Fang Taiwan Fruit Tea,Social Businesses,Cell 144,NA,new,NA,humancoding_fall,-71.0812233,42.3501916,1309
Zia Gianna - Italian Bakery & Caffè,Social Businesses,Cell 70,ChIJ0as4tpB744kR9Qmf4JddnD4,checked,cafe,googlapi,-71.063065,42.290943,1311
Zion Assembly Apostolic Church,Places of Worship,Cell 68,NA,new,NA,humancoding_fall,-71.0806387,42.2964505,1312
Zion Fire Holiness Church of God,Places of Worship,Cell 108,NA,new,NA,humancoding_fall,-71.082623,42.3285138,1313
Zoe Hair Studio,Social Businesses,Cell 162,NA,new,NA,humancoding_fall,-71.0616043,42.3515285,1314
จุด 1245Cathedral Station ,Social Businesses,Cell 145,NA,new,NA,humancoding_fall,-71.0668255,42.3427843,1315
